candidate_idx,zipcode,size,capacity_add,u5_add,latitude,longitude
44635,11379,large,400,200,40.71868838451399,-73.88073462319537
44657,11379,large,400,200,40.72547972013097,-73.88873480175512
44678,11379,large,400,200,40.71371241691704,-73.87332822105446
44698,11379,large,400,200,40.71391448356382,-73.88616489242979
44902,11385,large,400,200,40.69921989954087,-73.90005758243201
44909,11385,large,400,200,40.6982087504342,-73.88971096256834
44910,11385,large,400,200,40.71088117352141,-73.89959075239037
44912,11385,large,400,200,40.70755207403418,-73.89156059955413
44914,11385,large,400,200,40.70537247862954,-73.90561187803515
44915,11385,large,400,200,40.69807160422144,-73.89119422861714
44916,11385,large,400,200,40.7102652924107,-73.88629860644764
44917,11385,large,400,200,40.70903812809652,-73.89930682532123
44932,11385,large,400,200,40.69875587407981,-73.88870138991739
44933,11385,large,400,200,40.700872738631645,-73.89258026448304
44934,11385,large,400,200,40.70640819916247,-73.88618837613174
44936,11385,large,400,200,40.69497070465639,-73.90570441132543
44937,11385,large,400,200,40.703444273933805,-73.90164406558374
44939,11385,large,400,200,40.69498143382332,-73.88629129058954
44958,11385,large,400,200,40.70923042300896,-73.88883763883226
44959,11385,large,400,200,40.7029671576492,-73.88955301872294
44960,11385,large,400,200,40.69382639830786,-73.89684065480073
44961,11385,large,400,200,40.69804664779171,-73.90075148140264
44962,11385,large,400,200,40.70651184717076,-73.89469785344369
45203,11411,large,400,200,40.6963887930767,-73.74171193129587
45211,11411,large,400,200,40.70378574695684,-73.7391420611355
45254,11411,large,400,200,40.70114478867183,-73.73143514942171
45311,11412,large,400,200,40.68722530618904,-73.76064032860884
45314,11412,large,400,200,40.68923335905109,-73.76698263469636
45320,11412,large,400,200,40.69155273260287,-73.77107937810439
45321,11412,large,400,200,40.68655036121035,-73.76328509434983
45322,11412,large,400,200,40.69073842359481,-73.77043886133934
45330,11412,large,400,200,40.686843406360246,-73.75323811195213
45415,11413,large,400,200,40.6698546220164,-73.7642454617159
45427,11413,large,400,200,40.65740699395549,-73.74628442045469
45443,11413,large,400,200,40.66197856545542,-73.74958803687899
45450,11413,large,400,200,40.65978709927373,-73.76406951910712
45481,11413,large,400,200,40.66420030036132,-73.75455478913625
45499,11413,large,400,200,40.65974081427371,-73.7594972890423
45501,11414,large,400,200,40.65498852204568,-73.85253578506716
45509,11414,large,400,200,40.66575193530078,-73.84772514886245
45510,11414,large,400,200,40.65048122511833,-73.84133707833773
